exercise_import_id,workout_id,position,exercise_name,equipment,superset_group
1fc2ab39-044c-4c69-9c04-7564b947d407,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,1,Pull-Ups with Wide Neutral Grip,Bodyweight,
246c3d6e-ec8b-43a0-b8d9-6d6e94a79d26,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,2,Rows with Close Grip,Cable,
c5ee0d03-c33c-4726-9fb5-49fb9ec0ac44,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,3,Lat Pulldowns with Close Overhand Grip,Cable,
9af0ec8e-de58-434a-aab6-cbfb26d68e9c,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,4,One-Arm Lateral Raises at Hip Height,Cable,
90602444-876d-40c0-99f9-1dececd8e855,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,5,Reverse Flys,Cable,
a912357b-86fe-4e40-83a5-380b133cea03,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,6,Preacher Hammer Curls,Dumbbells,
2f96ce4c-7383-4de3-a347-a0a8654f0f7b,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,7,Curls,EZ Curl Bar,
a8a2b194-e898-4b9d-b8e6-af77e0122b07,f6208f7f-6b4f-4495-a9cc-bd6b54fde355,8,Hanging Leg Raises,Bodyweight,
fac1a43b-f666-4df1-bd63-06a85cd9ba3c,5cfdd712-92d4-48f9-b31b-61806525c4e1,1,Sumo Deadlifts,Barbell,
c3f0f6ab-a1cc-4188-9dff-f08cfe205afc,5cfdd712-92d4-48f9-b31b-61806525c4e1,2,Seated Leg Curls,Machine,
83546e94-17ab-4c1d-83b5-aa4ee76582f9,5cfdd712-92d4-48f9-b31b-61806525c4e1,3,Front Foot Elevated Split Squat,Barbell,
2ec0560a-c4d5-4e51-bb32-4436ae247013,5cfdd712-92d4-48f9-b31b-61806525c4e1,5,Landmine 180,Landmine,
7b345b4c-3317-47d5-a7fa-01916d9f13f7,5cfdd712-92d4-48f9-b31b-61806525c4e1,6,Crunches,Bodyweight,
82dec979-591f-4ee9-91c1-f4e25df3ad7a,8ff964b4-315a-409e-ad16-092305ffe225,1,Bench Press,Barbell,
ef55c7b2-b2fd-4902-8e57-fa57d0d0305c,8ff964b4-315a-409e-ad16-092305ffe225,2,Incline Bench Press 20°,Dumbbells,
40356276-f75e-41a1-992f-4e597b8828d9,8ff964b4-315a-409e-ad16-092305ffe225,3,Incline Rows,Barbell,
5dcc442a-dbdf-4a42-8d65-3163078babaa,8ff964b4-315a-409e-ad16-092305ffe225,4,One-Arm Rows with Reverse Grip,Dumbbells,
1fd75a7a-f88f-48df-b12e-468c780bb6d6,8ff964b4-315a-409e-ad16-092305ffe225,5,Upright Rows,Dumbbells,
fed8ebc4-2d01-434e-b859-555f3671cc54,8ff964b4-315a-409e-ad16-092305ffe225,6,Dips,Bodyweight,
28eed30b-3617-454c-8478-48c9b7708943,8ff964b4-315a-409e-ad16-092305ffe225,7,Concentration Twist Curls,Dumbbells,
32d5ab50-9147-4926-a1b5-d3d6d6e56bf0,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,1,Landmine Front Squat,Landmine,
95a9f6b6-0f00-4745-a73f-9b6eac0849cb,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,2,Seated Leg Curls,Machine,
da76f1b5-5c4e-44bd-b683-bd828a00e36f,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,3,Walking Lunges,Dumbbells,
c09e56bb-91e6-4af2-9b54-177960833067,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,4,Leg Extensions,Machine,
44f6ae9c-5a1a-47f6-be4d-b861fcc877a7,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,5,Standing Calf Raises,Smith machine,
5b638635-c302-4bed-b8d1-1c10beddab3f,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,6,Landmine Press,Landmine,
7929aeb8-0751-4e76-ac09-d45492a8c911,dd62d11f-49db-463e-93c4-ad0e0b9d1cf9,7,Side Sit-Ups,Bodyweight,
e0b261ed-a9af-42ca-938f-3c303bae1789,e9c7ea03-3452-4291-9779-80356efd60d3,1,Bench Press,Barbell,
a59c06b5-4847-41cd-a324-9228f76ade3c,e9c7ea03-3452-4291-9779-80356efd60d3,2,Incline Bench Press,Dumbbells,
07cc6368-5bc5-45fa-a382-c56c74bd6ed6,e9c7ea03-3452-4291-9779-80356efd60d3,3,Flys,Cable,
9cfd0cfb-52d7-42c6-864c-d154ccf0888e,e9c7ea03-3452-4291-9779-80356efd60d3,4,Incline Reverse Flys,Dumbbells,
a84fb0ef-91d6-42cc-a550-7810757d5e71,e9c7ea03-3452-4291-9779-80356efd60d3,5,Lateral Raises,Dumbbells,
26557daa-a958-4ab3-aff6-76036025bfab,e9c7ea03-3452-4291-9779-80356efd60d3,6,JM Press,Barbell,
