local_id,name,equipment,lift_manual_url
73,Arnold Press,Dumbbells,https://liftmanual.com/dumbbell-arnold-press/
74,Behind-the-Back Curls,Cable,https://liftmanual.com/cable-unilateral-bicep-curl/
1,Bench Press,Barbell,https://liftmanual.com/barbell-bench-press/
2,Bench Press,Dumbbells,https://liftmanual.com/dumbbell-bench-press/
75,Bench Press with Close Grip,Barbell,https://liftmanual.com/barbell-close-grip-bench-press/
76,Bent-Over Lateral Raises,Dumbbells,https://liftmanual.com/dumbbell-rear-lateral-raise/
77,Bent-Over One-Arm Rows,Landmine,https://liftmanual.com/barbell-one-arm-bent-over-row/
78,Bent-Over Rows,Barbell,https://liftmanual.com/barbell-bent-over-row/
79,Bent-Over Rows,Dumbbells,https://liftmanual.com/dumbbell-bent-over-row/
80,Bent-Over Rows with Reverse Grip,Barbell,https://liftmanual.com/barbell-reverse-grip-bent-over-row/
81,Bent-Over Rows with Reverse Grip,Dumbbells,https://liftmanual.com/dumbbell-bent-over-reverse-row/
82,Bent-Over Rows with Wide Grip,Barbell,https://liftmanual.com/barbell-bent-over-wide-grip-row/
83,Bent-Over Shrugs,Barbell,
84,Bent-Over Shrugs,Dumbbells,
85,Bulgarian Split Squats,Barbell,https://liftmanual.com/barbell-single-leg-split-squat/
86,Bulgarian Split Squats,Dumbbells,https://liftmanual.com/dumbbell-bulgarian-split-squat/
87,Chin-Ups,Bodyweight,https://liftmanual.com/weighted-chin-up/
88,Concentration Curls,Dumbbells,https://liftmanual.com/dumbbell-concentration-curl/
89,Concentration Hammer Curls,Dumbbells,
90,Concentration Twist Curls,Dumbbells,
91,Cross body curls,Dumbbells,https://liftmanual.com/dumbbell-cross-body-hammer-curl/
92,Crunches,Bodyweight,https://liftmanual.com/dumbbell-straight-arm-crunch/
93,Crunches on Exercise Ball,Bodyweight,
94,Curls,Barbell,https://liftmanual.com/barbell-curl/
95,Curls,Cable,https://liftmanual.com/cable-curl/
96,Curls,Dumbbells,https://liftmanual.com/dumbbell-biceps-curl/
97,Curls (one arm),Cable,https://liftmanual.com/cable-unilateral-bicep-curl/
98,Cycling on Stationary Bike,Machine,
99,Deadlifts,Barbell,https://liftmanual.com/barbell-deadlift/
100,Deadlifts,Trap Bar,https://liftmanual.com/trap-bar-deadlift/
9,Decline Bench Press,Barbell,https://liftmanual.com/barbell-decline-bench-press/
10,Decline Bench Press,Dumbbells,https://liftmanual.com/dumbbell-decline-bench-press/
101,Decline Crunches,Bodyweight,https://liftmanual.com/decline-crunch/
102,Decline Side Crunches,Bodyweight,https://liftmanual.com/oblique-crunches-floor/
103,Decline Side Sit-Ups,Bodyweight,https://liftmanual.com/decline-twisting-sit-up/
104,Decline Sit-Ups,Bodyweight,https://liftmanual.com/dumbbell-decline-sit-up/
105,Deficit Deadlifts,Trap Bar,https://liftmanual.com/trap-bar-deadlift-from-deficit/
106,Dips,Bodyweight,https://liftmanual.com/weighted-tricep-dips/
107,Drag Curls,Barbell,https://liftmanual.com/barbell-drag-curl/
108,Face Pulls with Rope,Cable,https://liftmanual.com/band-face-pull/
109,Flys,Cable,https://liftmanual.com/cable-middle-fly/
110,Flys,Dumbbells,
111,Forward Lunges,Dumbbells,
230,Front Raises,Barbell,
231,Front Raises,Dumbbells,
232,Front Raises,EZ Curl Bar,
112,Front Squats,Barbell,
235,Goblet Split Squat,Dumbbells,https://liftmanual.com/dumbbell-goblet-split-squat/
234,Goblet Squat 2 Sec Hold,Dumbbells,
236,Goblet Squat Jump,Dumbbells,
113,Goblet Squats,Dumbbells,
114,Good Mornings,Barbell,
115,Hammer Curls,Dumbbells,https://liftmanual.com/dumbbell-hammer-curl/
116,Hammer Curls (Tri bar),EZ Curl Bar,https://liftmanual.com/olympic-barbell-hammer-curl/
117,Hanging Leg Raises,Bodyweight,
118,Hanging Leg Raises with Twist,Bodyweight,
119,High Cable Flys,Cable,
120,Hip Thrusts,Barbell,
121,Hyperextensions on Roman Chair,Bodyweight,
