local_id,name,equipment,lift_manual_url
89,Concentration Hammer Curls,Dumbbells,
90,Concentration Twist Curls,Dumbbells,
93,Crunches on Exercise Ball,Bodyweight,
98,Cycling on Stationary Bike,Machine,
125,Incline Bench Press with Close Grip,Barbell,
134,Incline Skull Crushers,Dumbbells,
142,Lat Pulldowns with Close Neutral Grip,Cable,
143,Lat Pulldowns with Close Overhand Grip,Cable,https://liftmanual.com/cable-bar-lateral-pulldown/
144,Lat Pulldowns with Reverse Grip,Cable,https://liftmanual.com/cable-reverse-grip-pulldown/
145,Lat Pulldowns with Wide Neutral Grip,Cable,https://liftmanual.com/cable-wide-neutral-grip-pulldown/
146,Lat Pulldowns with Wide Overhand Grip,Cable,https://liftmanual.com/cable-wide-grip-lat-pulldown/
148,Lean Away Lateral Raises,Cable,https://liftmanual.com/cable-leaning-lateral-raise/
149,Lean Away Lateral Raises,Dumbbells,
150,Leg Extensions,Machine,https://liftmanual.com/lever-leg-extension/
151,Lying Leg Curls,Resistance Band,https://liftmanual.com/band-lying-leg-curl/
152,One-Arm Lateral Raises at Hip Height,Cable,https://liftmanual.com/cable-one-arm-lateral-raise/
154,One-Arm Rows with Reverse Grip,Dumbbells,
155,One-Arm Rows with Wide Grip,Dumbbells,
157,Overhead Triceps Extensions,Cable,
158,Overhead Triceps Extensions,Dumbbells,
159,Overhead Triceps Extensions,EZ Curl Bar,
160,Preacher Curls,EZ Curl Bar,
161,Preacher Hammer Curls,Dumbbells,
162,Preacher Twist Curls,Dumbbells,
163,Pull-Ups with Close Neutral Grip,Bodyweight,
164,Pull-Ups with Close Overhand Grip,Bodyweight,
228,Pull-Ups with Wide Neutral Grip,Bodyweight,
165,Pull-Ups with Wide Overhand Grip,Bodyweight,
166,Pullovers,Cable,
167,Pullovers on Bench,Dumbbells,
168,Pullovers on Bench,EZ Curl Bar,
169,Pullovers with Rope,Cable,
227,Push-Ups,Bodyweight,
170,Push-Ups with Close Grip,Bodyweight,
171,Reverse Curls,Dumbbells,
172,Reverse Curls,EZ Curl Bar,
173,Reverse Flys,Cable,
174,Reverse Lunges,Dumbbells,
175,Reverse Spider Curls,EZ Curl Bar,
176,Romanian Deadlifts,Barbell,
177,Romanian Deadlifts,Dumbbells,
178,Romanian Deadlifts,Trap Bar,
179,Rows with Close Grip,Cable,
180,Rows with Reverse Grip,Cable,
181,Rows with Wide Grip,Cable,
182,Rows with Wide Neutral Grip,Cable,
183,Russian Twists,Bodyweight,
185,Seated Calf Raises,Bodyweight,
186,Seated Calf Raises (BB),Barbell,
187,Seated Lateral Raises,Dumbbells,
188,Seated Leg Curls,Machine,
189,Seated Shoulder Press,Barbell,
190,Seated Shoulder Press,Dumbbells,
191,Seated Shoulder Press with Close Grip,Dumbbells,
195,Side Bends,Dumbbells,
201,Skull Crushers with Rope,Cable,
202,Spider Curls,Barbell,
204,Squats,Barbell,
205,Squats (Belt),Bodyweight,
206,Standing Calf Raises,Bodyweight,
207,Standing Calf Raises,Smith Machine,
208,Standing Leg Curls,Cable,
209,Standing Russian Twists,Cable,
210,Standing Shoulder Press,Barbell,
211,Standing Shoulder Press with Close Grip,Dumbbells,
212,Step-Ups,Dumbbells,
213,Sumo Deadlifts,Barbell,
233,Sumo Goblet Squats,Dumbbells,
229,T-Bar Rows with Narrow Grip,Landmine,
215,T-Bar Rows with Wide Grip,Landmine,
216,Triceps Kickbacks,Cable,
217,Triceps Kickbacks,Dumbbells,
218,Triceps Pushdowns,Cable,
219,Triceps Pushdowns (Vbar),Cable,
220,Triceps Pushdowns with Rope,Cable,
221,Twist Curls,Dumbbells,
222,Upright Rows,Dumbbells,
223,Upright Rows,EZ Curl Bar,
224,Walking Lunges,Dumbbells,
225,Y Raises,Cable,
226,Zercher Squats,Barbell,
