name,equipment,primary_muscle,secondary_muscles,include_in_seed,history_count,notes,bodyweight_load_percent,source_key
Arnold Press,Dumbbells,Front Delts,"Side Delts; Traps",yes,10,"inferred; review",,history-csv-2026-06-07:arnold-press-dumbbells
Behind-the-Back Curls,Cable,Biceps,"Forearms",yes,5,"inferred; review",,history-csv-2026-06-07:behind-the-back-curls-cable
Bench Press,Barbell,Chest,"Triceps; Front Delts; Forearms",yes,71,existing seed match,,history-csv-2026-06-07:bench-press-barbell
Bench Press,Dumbbells,Chest,"Triceps; Front Delts; Forearms",yes,61,existing seed match,,history-csv-2026-06-07:bench-press-dumbbells
Bench Press with Close Grip,Barbell,Triceps,"Chest; Front Delts; Forearms",yes,12,"inferred; review",,history-csv-2026-06-07:bench-press-with-close-grip-barbell
Bent-Over Lateral Raises,Dumbbells,Rear Delts,"Traps; Side Delts; Upper Back; Forearms",yes,18,"inferred; review",,history-csv-2026-06-07:bent-over-lateral-raises-dumbbells
Bent-Over One-Arm Rows,Landmine,Upper Back,"Lats; Traps; Lower Back; Biceps; Rear Delts; Abs; Forearms",yes,6,"inferred; review",,history-csv-2026-06-07:bent-over-one-arm-rows-barbell
Bent-Over Rows,Barbell,Upper Back,"Lats; Traps; Lower Back; Biceps; Rear Delts; Abs; Forearms",yes,12,"inferred; review",,history-csv-2026-06-07:bent-over-rows-barbell
Bent-Over Rows,Dumbbells,Upper Back,"Lats; Traps; Lower Back; Biceps; Rear Delts; Abs; Forearms",yes,6,"inferred; review",,history-csv-2026-06-07:bent-over-rows-dumbbells
Bent-Over Rows with Reverse Grip,Barbell,Upper Back,"Lats; Traps; Lower Back; Biceps; Rear Delts; Abs; Forearms",yes,6,"inferred; review",,history-csv-2026-06-07:bent-over-rows-with-reverse-grip-barbell
Bent-Over Rows with Reverse Grip,Dumbbells,Upper Back,"Lats; Traps; Lower Back; Biceps; Rear Delts; Abs; Forearms",yes,7,"inferred; review",,history-csv-2026-06-07:bent-over-rows-with-reverse-grip-dumbbells
